Unique Key,Created Date,Closed Date,Agency,Agency Name,Problem (formerly Complaint Type),Problem Detail (formerly Descriptor),Additional Details,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,Council District,Police Precinct,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location
66940679,11/24/2025 01:49:37 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",PHONE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66815666,11/12/2025 09:12:02 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66817439,11/12/2025 07:51:58 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,BROOKLYN,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66778128,11/10/2025 12:50:49 AM,03/11/2026 10:07:04 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",03/11/2026 10:07:06 AM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66690152,11/01/2025 10:01:14 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66465933,10/13/2025 01:28:35 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66467398,10/13/2025 01:22:36 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Car Service Company Report,Unlicensed/Unauthorized,,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66442812,10/11/2025 05:20:27 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66197819,09/18/2025 10:18:43 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Report,Car Service Company Report,Unlicensed/Unauthorized,,11430.0,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",PHONE,Unspecified,QUEENS,,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66201810,09/18/2025 02:00:27 AM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
66020494,09/01/2025 11:49:05 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,MANHATTAN,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65973145,08/28/2025 10:00:23 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65961164,08/26/2025 06:20:27 PM,12/02/2025 01:59:21 PM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",12/02/2025 01:59:26 PM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",PHONE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65855280,08/14/2025 06:26:32 PM,12/16/2025 10:01:32 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,The Taxi and Limousine Commission was unable to identify the driver or car service company named in your complaint.,12/16/2025 10:01:34 AM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65623615,07/22/2025 12:23:45 AM,12/04/2025 07:30:15 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"The Taxi and Limousine Commission (TLC) called and left a message for you. They needed to confirm the details of your complaint. When you did not respond within 14 days, your complaint was closed. If you still want to pursue this complaint, you can open a new Service Request with a daytime phone number included.",12/04/2025 07:30:17 AM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,BROOKLYN,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65615718,07/20/2025 07:47:02 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Highway,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,MANHATTAN,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",Henry Hudson Pkwy/Rt 9A,North/Bronx Bound,Roadway,Dyckman St (Exit 17) - Br Toll Plaza,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65486382,07/06/2025 08:41:07 PM,12/01/2025 03:19:46 PM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,The Taxi and Limousine Commission was unable to identify the driver or car service company named in your complaint.,12/01/2025 03:19:49 PM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65451636,07/03/2025 07:21:17 PM,,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,In Progress,,,,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",PHONE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65451637,07/03/2025 07:10:17 PM,12/02/2025 01:18:32 PM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JFK,JFK,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"Based on the information provided by the customer, the Taxi and Limousine Commission has determined that a hearing is not necessary or not possible.",12/02/2025 01:18:35 PM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",PHONE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65439301,07/02/2025 12:46:57 PM,11/26/2025 10:39:04 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"The Taxi and Limousine Commission (TLC) called and left a message for you. They needed to confirm the details of your complaint. When you did not respond within 14 days, your complaint was closed. If you still want to pursue this complaint, you can open a new Service Request with a daytime phone number included.",11/26/2025 10:39:06 AM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,MANHATTAN,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65421255,06/30/2025 06:54:31 AM,07/03/2025 07:21:43 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,The Taxi and Limousine Commission was unable to identify the driver or car service company named in your complaint.,07/03/2025 07:21:46 AM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65404343,06/28/2025 11:18:17 PM,07/11/2025 07:07:03 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"The Taxi and Limousine Commission (TLC) called and left a message for you. They needed to confirm the details of your complaint. When you did not respond within 14 days, your complaint was closed. If you still want to pursue this complaint, you can open a new Service Request with a daytime phone number included.",07/11/2025 07:07:05 AM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
65354517,06/23/2025 09:35:15 PM,11/10/2025 10:35:22 AM,TLC,Taxi and Limousine Commission,For Hire Vehicle Complaint,Car Service Company Complaint,Unlicensed/Unauthorized,Street,11430.0,JOHN F KENNEDY AIRPORT,JOHN F KENNEDY AIRPORT,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,BEND,AIRTRAIN-HOWARD BCH/JAMAICA LINE,PLACE,JAMAICA,JOHN F KENNEDY AIRPORT,,Closed,,"The Taxi and Limousine Commission (TLC) called and left a message for you. They needed to confirm the details of your complaint. When you did not respond within 14 days, your complaint was closed. If you still want to pursue this complaint, you can open a new Service Request with a daytime phone number included.",11/10/2025 10:35:24 AM,83 QUEENS,31.0,Precinct 113,4142600001.0,QUEENS,"1,043,001","175,548",ONLINE,Unspecified,QUEENS,Car Service,QUEENS,"JOHN F KENNEDY AIRPORT, QUEENS (JAMAICA) ,NY, 11430",,,,,40.6483204862,-73.7882812513,POINT (-73.788281251302 40.648320486201)
