quarter,year,citation_no,precinct,citations_given,borough
Q2,2025,19-506(c)(1),105,0,Queens
Q2,2025,19-506(c)(1),106,0,Queens
Q2,2025,19-506(c)(1),107,0,Queens
Q2,2025,19-506(c)(1),108,0,Queens
Q2,2025,19-506(c)(1),109,0,Queens
Q2,2025,19-506(c)(1),110,0,Queens
Q2,2025,19-506(c)(1),111,0,Queens
Q2,2025,19-506(c)(1),112,0,Queens
Q2,2025,19-506(c)(1),113,0,Queens
Q2,2025,19-506(c)(1),114,0,Queens
Q2,2025,19-506(c)(1),115,0,Queens
Q2,2025,19-506(c)(1),JFK,1,Queens
Q2,2025,19-506(c)(1),LGA,0,Queens
Q2,2025,19-506(d),100,0,Queens
Q2,2025,19-506(d),101,0,Queens
Q2,2025,19-506(d),102,0,Queens
Q2,2025,19-506(d),103,0,Queens
Q2,2025,19-506(d),104,0,Queens
Q2,2025,19-506(d),105,0,Queens
Q2,2025,19-506(d),106,1,Queens
Q2,2025,19-506(d),107,0,Queens
Q2,2025,19-506(d),108,1,Queens
Q2,2025,19-506(d),109,0,Queens
Q2,2025,19-506(d),110,2,Queens
Q2,2025,19-506(d),111,0,Queens
Q2,2025,19-506(d),112,0,Queens
Q2,2025,19-506(d),113,0,Queens
Q2,2025,19-506(d),114,0,Queens
Q2,2025,19-506(d),115,3,Queens
Q2,2025,19-506(d),JFK,14,Queens
Q2,2025,19-506(d),LGA,1,Queens
Q3,2025,19-506(b)(1),100,0,Queens
Q3,2025,19-506(b)(1),101,6,Queens
Q3,2025,19-506(b)(1),102,0,Queens
Q3,2025,19-506(b)(1),103,46,Queens
Q3,2025,19-506(b)(1),104,1,Queens
Q3,2025,19-506(b)(1),105,10,Queens
Q3,2025,19-506(b)(1),106,6,Queens
Q3,2025,19-506(b)(1),107,2,Queens
Q3,2025,19-506(b)(1),108,2,Queens
Q3,2025,19-506(b)(1),109,0,Queens
Q3,2025,19-506(b)(1),110,68,Queens
Q3,2025,19-506(b)(1),111,0,Queens
Q3,2025,19-506(b)(1),112,2,Queens
Q3,2025,19-506(b)(1),113,38,Queens
Q3,2025,19-506(b)(1),114,0,Queens
Q3,2025,19-506(b)(1),115,4,Queens
Q3,2025,19-506(b)(1),116,0,Queens
Q3,2025,19-506(b)(1),JFK,358,Queens
Q3,2025,19-506(b)(1),LGA,86,Queens
Q3,2025,19-506(b)(2),100,0,Queens
Q3,2025,19-506(b)(2),101,0,Queens
Q3,2025,19-506(b)(2),102,0,Queens
Q3,2025,19-506(b)(2),103,0,Queens
Q3,2025,19-506(b)(2),104,0,Queens
Q3,2025,19-506(b)(2),105,0,Queens
Q3,2025,19-506(b)(2),106,0,Queens
Q3,2025,19-506(b)(2),107,0,Queens
Q3,2025,19-506(b)(2),108,0,Queens
Q3,2025,19-506(b)(2),109,0,Queens
Q3,2025,19-506(b)(2),110,0,Queens
Q3,2025,19-506(b)(2),111,0,Queens
Q3,2025,19-506(b)(2),112,0,Queens
Q3,2025,19-506(b)(2),113,0,Queens
Q3,2025,19-506(b)(2),114,0,Queens
Q3,2025,19-506(b)(2),115,0,Queens
Q3,2025,19-506(b)(2),116,0,Queens
Q3,2025,19-506(b)(2),JFK,0,Queens
Q3,2025,19-506(b)(2),LGA,0,Queens
Q3,2025,19-506(c)(1),100,0,Queens
Q3,2025,19-506(c)(1),101,0,Queens
Q3,2025,19-506(c)(1),102,0,Queens
Q3,2025,19-506(c)(1),103,1,Queens
Q3,2025,19-506(c)(1),104,0,Queens
Q3,2025,19-506(c)(1),105,0,Queens
Q3,2025,19-506(c)(1),106,0,Queens
Q3,2025,19-506(c)(1),107,0,Queens
Q3,2025,19-506(c)(1),108,0,Queens
Q3,2025,19-506(c)(1),109,0,Queens
Q3,2025,19-506(c)(1),110,0,Queens
Q3,2025,19-506(c)(1),111,0,Queens
Q3,2025,19-506(c)(1),112,0,Queens
Q3,2025,19-506(c)(1),113,0,Queens
Q3,2025,19-506(c)(1),114,0,Queens
Q3,2025,19-506(c)(1),115,0,Queens
Q3,2025,19-506(c)(1),116,0,Queens
Q3,2025,19-506(c)(1),JFK,0,Queens
Q3,2025,19-506(c)(1),LGA,0,Queens
Q3,2025,19-506(d),100,0,Queens
Q3,2025,19-506(d),101,0,Queens
Q3,2025,19-506(d),102,0,Queens
Q3,2025,19-506(d),103,1,Queens
Q3,2025,19-506(d),104,0,Queens
Q3,2025,19-506(d),105,0,Queens
Q3,2025,19-506(d),106,1,Queens
Q3,2025,19-506(d),107,0,Queens
Q3,2025,19-506(d),108,0,Queens
Q3,2025,19-506(d),109,0,Queens
Q3,2025,19-506(d),110,3,Queens
Q3,2025,19-506(d),111,0,Queens
Q3,2025,19-506(d),112,0,Queens
Q3,2025,19-506(d),113,0,Queens
Q3,2025,19-506(d),114,0,Queens
Q3,2025,19-506(d),115,2,Queens
Q3,2025,19-506(d),116,0,Queens
Q3,2025,19-506(d),JFK,10,Queens
Q3,2025,19-506(d),LGA,3,Queens
Q4,2025,19-506(b)(1),100,0,Queens
Q4,2025,19-506(b)(1),101,4,Queens
Q4,2025,19-506(b)(1),102,0,Queens
Q4,2025,19-506(b)(1),103,30,Queens
Q4,2025,19-506(b)(1),104,1,Queens
Q4,2025,19-506(b)(1),105,0,Queens
Q4,2025,19-506(b)(1),106,3,Queens
Q4,2025,19-506(b)(1),107,4,Queens
Q4,2025,19-506(b)(1),108,6,Queens
Q4,2025,19-506(b)(1),109,15,Queens
Q4,2025,19-506(b)(1),110,14,Queens
Q4,2025,19-506(b)(1),111,0,Queens
Q4,2025,19-506(b)(1),112,2,Queens
Q4,2025,19-506(b)(1),113,17,Queens
Q4,2025,19-506(b)(1),114,2,Queens
Q4,2025,19-506(b)(1),115,16,Queens
Q4,2025,19-506(b)(1),116,0,Queens
Q4,2025,19-506(b)(1),JFK,324,Queens
Q4,2025,19-506(b)(1),LGA,78,Queens
Q4,2025,19-506(b)(2),100,0,Queens
Q4,2025,19-506(b)(2),101,0,Queens
Q4,2025,19-506(b)(2),102,0,Queens
Q4,2025,19-506(b)(2),103,0,Queens
Q4,2025,19-506(b)(2),104,0,Queens
Q4,2025,19-506(b)(2),105,0,Queens
Q4,2025,19-506(b)(2),106,0,Queens
Q4,2025,19-506(b)(2),107,0,Queens
Q4,2025,19-506(b)(2),108,0,Queens
Q4,2025,19-506(b)(2),109,0,Queens
Q4,2025,19-506(b)(2),110,0,Queens
Q4,2025,19-506(b)(2),111,0,Queens
Q4,2025,19-506(b)(2),112,0,Queens
Q4,2025,19-506(b)(2),113,0,Queens
Q4,2025,19-506(b)(2),114,0,Queens
Q4,2025,19-506(b)(2),115,0,Queens
Q4,2025,19-506(b)(2),116,0,Queens
Q4,2025,19-506(b)(2),JFK,0,Queens
Q4,2025,19-506(b)(2),LGA,0,Queens
Q4,2025,19-506(c)(1),100,0,Queens
Q4,2025,19-506(c)(1),101,0,Queens
Q4,2025,19-506(c)(1),102,0,Queens
Q4,2025,19-506(c)(1),103,0,Queens
Q4,2025,19-506(c)(1),104,0,Queens
Q4,2025,19-506(c)(1),105,0,Queens
Q4,2025,19-506(c)(1),106,0,Queens
Q4,2025,19-506(c)(1),107,0,Queens
Q4,2025,19-506(c)(1),108,0,Queens
Q4,2025,19-506(c)(1),109,0,Queens
Q4,2025,19-506(c)(1),110,0,Queens
Q4,2025,19-506(c)(1),111,0,Queens
Q4,2025,19-506(c)(1),112,0,Queens
Q4,2025,19-506(c)(1),113,0,Queens
Q4,2025,19-506(c)(1),114,0,Queens
Q4,2025,19-506(c)(1),115,0,Queens
Q4,2025,19-506(c)(1),116,0,Queens
Q4,2025,19-506(c)(1),JFK,0,Queens
Q4,2025,19-506(c)(1),LGA,0,Queens
Q4,2025,19-506(d),100,0,Queens
Q4,2025,19-506(d),101,0,Queens
Q4,2025,19-506(d),102,0,Queens
Q4,2025,19-506(d),103,0,Queens
Q4,2025,19-506(d),104,0,Queens
Q4,2025,19-506(d),105,0,Queens
Q4,2025,19-506(d),106,0,Queens
Q4,2025,19-506(d),107,0,Queens
Q4,2025,19-506(d),108,0,Queens
Q4,2025,19-506(d),109,1,Queens
Q4,2025,19-506(d),110,3,Queens
Q4,2025,19-506(d),111,0,Queens
Q4,2025,19-506(d),112,1,Queens
Q4,2025,19-506(d),113,0,Queens
Q4,2025,19-506(d),114,0,Queens
Q4,2025,19-506(d),115,3,Queens
Q4,2025,19-506(d),116,0,Queens
Q4,2025,19-506(d),JFK,7,Queens
Q4,2025,19-506(d),LGA,4,Queens
Q1,2025,19-506(b)(1),001,6,Manhattan
Q1,2025,19-506(b)(1),005,9,Manhattan
Q1,2025,19-506(b)(1),006,0,Manhattan
Q1,2025,19-506(b)(1),007,0,Manhattan
Q1 ,2025,19-506(b)(1),009,0,Manhattan
Q1 ,2025,19-506(b)(1),010,0,Manhattan
Q1 ,2025,19-506(b)(1),013,0,Manhattan
Q1 ,2025,19-506(b)(1),017,12,Manhattan
Q1 ,2025,19-506(b)(1),019,0,Manhattan
Q1,2025,19-506(b)(1),020,0,Manhattan
Q1,2025,19-506(b)(1),023,0,Manhattan
Q1,2025,19-506(b)(1),024,0,Manhattan
Q1,2025,19-506(b)(1),025,0,Manhattan
Q1 ,2025,19-506(b)(1),026,0,Manhattan
Q1 ,2025,19-506(b)(1),028,0,Manhattan
Q1 ,2025,19-506(b)(1),030,0,Manhattan
Q1 ,2025,19-506(b)(1),032,1,Manhattan
Q1 ,2025,19-506(b)(1),033,0,Manhattan
Q1,2025,19-506(b)(1),034,0,Manhattan
Q1,2025,19-506(b)(1),CP,0,Manhattan
Q1,2025,19-506(b)(1),MTN,18,Manhattan
Q1,2025,19-506(b)(1),MTS,16,Manhattan
Q1,2025,19-506(b)(2),001,0,Manhattan
Q1,2025,19-506(b)(2),005,0,Manhattan
Q1,2025,19-506(b)(2),006,0,Manhattan
Q1,2025,19-506(b)(2),007,0,Manhattan
Q1 ,2025,19-506(b)(2),009,0,Manhattan
Q1 ,2025,19-506(b)(2),010,0,Manhattan
Q1 ,2025,19-506(b)(2),013,0,Manhattan
Q1 ,2025,19-506(b)(2),017,0,Manhattan
Q1 ,2025,19-506(b)(2),019,0,Manhattan
Q1,2025,19-506(b)(2),020,0,Manhattan
Q1,2025,19-506(b)(2),023,0,Manhattan
Q1,2025,19-506(b)(2),024,0,Manhattan
Q1,2025,19-506(b)(2),025,0,Manhattan
Q1 ,2025,19-506(b)(2),026,0,Manhattan
Q1 ,2025,19-506(b)(2),028,0,Manhattan
Q1 ,2025,19-506(b)(2),030,0,Manhattan
Q1 ,2025,19-506(b)(2),032,0,Manhattan
Q1 ,2025,19-506(b)(2),033,0,Manhattan
Q1 ,2025,19-506(b)(2),034,0,Manhattan
Q1 ,2025,19-506(b)(2),CP,0,Manhattan
Q1 ,2025,19-506(b)(2),MTN,0,Manhattan
Q1 ,2025,19-506(b)(2),MTS,0,Manhattan
Q1,2025,19-506(c)(1),001,0,Manhattan
Q1,2025,19-506(c)(1),005,0,Manhattan
Q1,2025,19-506(c)(1),006,0,Manhattan
Q1,2025,19-506(c)(1),007,0,Manhattan
Q1 ,2025,19-506(c)(1),009,0,Manhattan
Q1 ,2025,19-506(c)(1),010,0,Manhattan
Q1 ,2025,19-506(c)(1),013,0,Manhattan
Q1 ,2025,19-506(c)(1),017,0,Manhattan
Q1 ,2025,19-506(c)(1),019,0,Manhattan
Q1,2025,19-506(c)(1),020,0,Manhattan
Q1,2025,19-506(c)(1),023,0,Manhattan
Q1,2025,19-506(c)(1),024,0,Manhattan
Q1,2025,19-506(c)(1),025,0,Manhattan
Q1 ,2025,19-506(c)(1),026,0,Manhattan
Q1 ,2025,19-506(c)(1),028,0,Manhattan
Q1 ,2025,19-506(c)(1),030,0,Manhattan
Q1 ,2025,19-506(c)(1),032,0,Manhattan
Q1 ,2025,19-506(c)(1),033,0,Manhattan
Q1,2025,19-506(c)(1),034,0,Manhattan
Q1,2025,19-506(c)(1),CP,0,Manhattan
Q1,2025,19-506(c)(1),MTN,0,Manhattan
Q1,2025,19-506(c)(1),MTS,0,Manhattan
Q1,2025,19-506(d),001,1,Manhattan
Q1,2025,19-506(d),005,0,Manhattan
Q1,2025,19-506(d),006,0,Manhattan
Q1,2025,19-506(d),007,0,Manhattan
Q1 ,2025,19-506(d),009,0,Manhattan
Q1 ,2025,19-506(d),010,0,Manhattan
Q1 ,2025,19-506(d),013,1,Manhattan
Q1 ,2025,19-506(d),017,4,Manhattan
Q1 ,2025,19-506(d),019,0,Manhattan
Q1,2025,19-506(d),020,2,Manhattan
Q1,2025,19-506(d),023,0,Manhattan
Q1,2025,19-506(d),024,0,Manhattan
Q1,2025,19-506(d),025,1,Manhattan
Q1 ,2025,19-506(d),026,0,Manhattan
Q1 ,2025,19-506(d),028,0,Manhattan
Q1 ,2025,19-506(d),030,0,Manhattan
Q1 ,2025,19-506(d),032,1,Manhattan
Q1 ,2025,19-506(d),033,1,Manhattan
Q1 ,2025,19-506(d),034,0,Manhattan
Q1 ,2025,19-506(d),CP,0,Manhattan
Q1 ,2025,19-506(d),MTN,0,Manhattan
Q1 ,2025,19-506(d),MTS,3,Manhattan
Q2,2025,19-506(b)(1),001,6,Manhattan
Q2,2025,19-506(b)(1),005,1,Manhattan
Q2,2025,19-506(b)(1),006,2,Manhattan
Q2,2025,19-506(b)(1),007,0,Manhattan
Q2,2025,19-506(b)(1),009,0,Manhattan
Q2,2025,19-506(b)(1),010,0,Manhattan
Q2,2025,19-506(b)(1),013,0,Manhattan
Q2,2025,19-506(b)(1),017,13,Manhattan
Q2,2025,19-506(b)(1),019,0,Manhattan
Q2,2025,19-506(b)(1),020,0,Manhattan
Q2,2025,19-506(b)(1),023,0,Manhattan
Q2,2025,19-506(b)(1),024,0,Manhattan
Q2,2025,19-506(b)(1),025,7,Manhattan
Q2,2025,19-506(b)(1),026,2,Manhattan
Q2,2025,19-506(b)(1),028,2,Manhattan
Q2,2025,19-506(b)(1),030,1,Manhattan
Q2,2025,19-506(b)(1),032,0,Manhattan
Q2,2025,19-506(b)(1),033,2,Manhattan
Q1 ,2025,19-506(b)(1),034,2,Manhattan
Q2,2025,19-506(b)(1),CP,0,Manhattan
Q2,2025,19-506(b)(1),MTN,24,Manhattan
Q2,2025,19-506(b)(1),MTS,17,Manhattan
Q2,2025,19-506(b)(2),001,0,Manhattan
Q2,2025,19-506(b)(2),005,0,Manhattan
Q2,2025,19-506(b)(2),006,0,Manhattan
Q2,2025,19-506(b)(2),007,0,Manhattan
Q2,2025,19-506(b)(2),009,0,Manhattan
Q2,2025,19-506(b)(2),010,0,Manhattan
Q2,2025,19-506(b)(2),013,0,Manhattan
Q2,2025,19-506(b)(2),017,0,Manhattan
Q2,2025,19-506(b)(2),019,0,Manhattan
Q2,2025,19-506(b)(2),020,0,Manhattan
Q2,2025,19-506(b)(2),023,0,Manhattan
Q2,2025,19-506(b)(2),024,0,Manhattan
Q2,2025,19-506(b)(2),025,0,Manhattan
Q2,2025,19-506(b)(2),026,0,Manhattan
Q2,2025,19-506(b)(2),028,0,Manhattan
Q2,2025,19-506(b)(2),030,0,Manhattan
Q2,2025,19-506(b)(2),032,0,Manhattan
Q2,2025,19-506(b)(2),033,0,Manhattan
Q2,2025,19-506(b)(2),034,0,Manhattan
Q2,2025,19-506(b)(2),CP,0,Manhattan
Q2,2025,19-506(b)(2),MTN,0,Manhattan
Q2,2025,19-506(b)(2),MTS,0,Manhattan
Q2,2025,19-506(c)(1),001,0,Manhattan
Q2,2025,19-506(c)(1),005,0,Manhattan
Q2,2025,19-506(c)(1),006,0,Manhattan
Q2,2025,19-506(c)(1),007,0,Manhattan
Q2,2025,19-506(c)(1),009,0,Manhattan
Q2,2025,19-506(c)(1),010,0,Manhattan
Q2,2025,19-506(c)(1),013,0,Manhattan
Q2,2025,19-506(c)(1),017,0,Manhattan
Q2,2025,19-506(c)(1),019,0,Manhattan
Q2,2025,19-506(c)(1),020,0,Manhattan
Q2,2025,19-506(c)(1),023,0,Manhattan
Q2,2025,19-506(c)(1),024,0,Manhattan
Q2,2025,19-506(c)(1),025,0,Manhattan
Q2,2025,19-506(c)(1),026,0,Manhattan
Q2,2025,19-506(c)(1),028,0,Manhattan
Q2,2025,19-506(c)(1),030,0,Manhattan
Q2,2025,19-506(c)(1),032,0,Manhattan
Q2,2025,19-506(c)(1),033,0,Manhattan
Q2,2025,19-506(c)(1),034,0,Manhattan
Q2,2025,19-506(c)(1),CP,0,Manhattan
Q2,2025,19-506(c)(1),MTN,0,Manhattan
Q2,2025,19-506(c)(1),MTS,0,Manhattan
Q2,2025,19-506(d),001,0,Manhattan
Q2,2025,19-506(d),005,0,Manhattan
Q2,2025,19-506(d),006,0,Manhattan
Q2,2025,19-506(d),007,0,Manhattan
Q2,2025,19-506(d),009,1,Manhattan
Q2,2025,19-506(d),010,0,Manhattan
Q2,2025,19-506(d),013,0,Manhattan
Q2,2025,19-506(d),017,4,Manhattan
Q2,2025,19-506(d),019,1,Manhattan
Q2,2025,19-506(d),020,0,Manhattan
Q2,2025,19-506(d),023,0,Manhattan
Q2,2025,19-506(d),024,0,Manhattan
Q2,2025,19-506(d),025,8,Manhattan
Q2,2025,19-506(d),026,2,Manhattan
Q2,2025,19-506(d),028,3,Manhattan
Q2,2025,19-506(d),030,1,Manhattan
Q2,2025,19-506(d),032,0,Manhattan
Q2,2025,19-506(d),033,2,Manhattan
Q2,2025,19-506(d),034,2,Manhattan
Q2,2025,19-506(d),CP,0,Manhattan
Q2,2025,19-506(d),MTN,29,Manhattan
Q2,2025,19-506(d),MTS,22,Manhattan
Q3,2025,19-506(b)(1),001,5,Manhattan
Q3,2025,19-506(b)(1),005,3,Manhattan
Q3,2025,19-506(b)(1),006,0,Manhattan
Q3,2025,19-506(b)(1),007,0,Manhattan
Q3,2025,19-506(b)(1),009,0,Manhattan
Q3,2025,19-506(b)(1),010,0,Manhattan
Q3,2025,19-506(b)(1),013,3,Manhattan
Q3,2025,19-506(b)(1),017,14,Manhattan
Q3,2025,19-506(b)(1),019,0,Manhattan
Q3,2025,19-506(b)(1),020,0,Manhattan
Q3,2025,19-506(b)(1),023,0,Manhattan
Q3,2025,19-506(b)(1),024,0,Manhattan
Q3,2025,19-506(b)(1),025,3,Manhattan
Q3,2025,19-506(b)(1),026,0,Manhattan
Q3,2025,19-506(b)(1),028,0,Manhattan
Q3,2025,19-506(b)(1),030,0,Manhattan
Q3,2025,19-506(b)(1),032,1,Manhattan
Q3,2025,19-506(b)(1),033,7,Manhattan
Q3,2025,19-506(b)(1),034,0,Manhattan
Q3,2025,19-506(b)(1),CP,0,Manhattan
Q3,2025,19-506(b)(1),MTN,20,Manhattan
Q3,2025,19-506(b)(1),MTS,46,Manhattan
Q3,2025,19-506(b)(2),001,0,Manhattan
Q3,2025,19-506(b)(2),005,0,Manhattan
Q3,2025,19-506(b)(2),006,0,Manhattan
Q3,2025,19-506(b)(2),007,0,Manhattan
Q3,2025,19-506(b)(2),009,0,Manhattan
Q3,2025,19-506(b)(2),010,0,Manhattan
Q3,2025,19-506(b)(2),013,0,Manhattan
Q3,2025,19-506(b)(2),017,0,Manhattan
Q3,2025,19-506(b)(2),019,0,Manhattan
Q3,2025,19-506(b)(2),020,0,Manhattan
Q3,2025,19-506(b)(2),023,0,Manhattan
Q3,2025,19-506(b)(2),024,0,Manhattan
Q3,2025,19-506(b)(2),025,0,Manhattan
Q3,2025,19-506(b)(2),026,0,Manhattan
Q3,2025,19-506(b)(2),028,0,Manhattan
Q3,2025,19-506(b)(2),030,0,Manhattan
Q3,2025,19-506(b)(2),032,0,Manhattan
Q3,2025,19-506(b)(2),033,0,Manhattan
Q3,2025,19-506(b)(2),034,0,Manhattan
Q3,2025,19-506(b)(2),CP,0,Manhattan
Q3,2025,19-506(b)(2),MTN,0,Manhattan
Q3,2025,19-506(b)(2),MTS,0,Manhattan
Q3,2025,19-506(c)(1),001,0,Manhattan
Q3,2025,19-506(c)(1),005,0,Manhattan
Q3,2025,19-506(c)(1),006,0,Manhattan
Q3,2025,19-506(c)(1),007,0,Manhattan
Q3,2025,19-506(c)(1),009,0,Manhattan
Q3,2025,19-506(c)(1),010,0,Manhattan
Q3,2025,19-506(c)(1),013,0,Manhattan
Q3,2025,19-506(c)(1),017,0,Manhattan
Q3,2025,19-506(c)(1),019,0,Manhattan
Q3,2025,19-506(c)(1),020,0,Manhattan
Q3,2025,19-506(c)(1),023,0,Manhattan
Q3,2025,19-506(c)(1),024,0,Manhattan
Q3,2025,19-506(c)(1),025,0,Manhattan
Q3,2025,19-506(c)(1),026,0,Manhattan
Q3,2025,19-506(c)(1),028,0,Manhattan
Q3,2025,19-506(c)(1),030,0,Manhattan
Q3,2025,19-506(c)(1),032,0,Manhattan
Q3,2025,19-506(c)(1),033,0,Manhattan
Q3,2025,19-506(c)(1),034,0,Manhattan
Q3,2025,19-506(c)(1),CP,0,Manhattan
Q3,2025,19-506(c)(1),MTN,0,Manhattan
Q3,2025,19-506(c)(1),MTS,0,Manhattan
Q3,2025,19-506(d),001,1,Manhattan
Q3,2025,19-506(d),005,0,Manhattan
Q3,2025,19-506(d),006,0,Manhattan
Q3,2025,19-506(d),007,0,Manhattan
Q3,2025,19-506(d),009,0,Manhattan
Q3,2025,19-506(d),010,0,Manhattan
Q3,2025,19-506(d),013,0,Manhattan
Q3,2025,19-506(d),017,3,Manhattan
Q3,2025,19-506(d),019,0,Manhattan
Q3,2025,19-506(d),020,0,Manhattan
Q3,2025,19-506(d),023,0,Manhattan
Q3,2025,19-506(d),024,0,Manhattan
Q3,2025,19-506(d),025,0,Manhattan
Q3,2025,19-506(d),026,0,Manhattan
Q3,2025,19-506(d),028,0,Manhattan
Q3,2025,19-506(d),030,1,Manhattan
Q3,2025,19-506(d),032,0,Manhattan
Q3,2025,19-506(d),033,0,Manhattan
Q3,2025,19-506(d),034,0,Manhattan
Q3,2025,19-506(d),CP,0,Manhattan
Q3,2025,19-506(d),MTS,1,Manhattan
Q3,2025,19-506(d),MTN,1,Manhattan
Q4,2025,19-506(b)(1),001,7,Manhattan
Q4,2025,19-506(b)(1),005,17,Manhattan
Q4,2025,19-506(b)(1),006,0,Manhattan
